QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
kafka-f610f9ff1f59f90434c3614f00c95001f50100e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>$,$,low,low,low,low,,,,,,0,79,,,,,,,,,,,,,3,3,0,79,0,0,0,1,0,0,,,,,,,
$.LineSplit,LineSplit,low,low,low,low,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,,,,,26,,,,,,0,,,,,,,
<Anonymous> : L$.LineSplit$2600;,L$.LineSplit$2600;,low,low,low,low,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
$.Pipe,Pipe,low,low,low,low,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,,,,24,,,,,,0,,,,,,,
<Anonymous> : L$.Pipe$2314;,L$.Pipe$2314;,low,low,low,low,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
$.WordCount,WordCount,low,low,low,low,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,,,,,29,,,,,,0,,,,,,,
<Anonymous> : L$.WordCount$3195;,L$.WordCount$3195;,low,low,low,low,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
<Package>kafka.examples,kafka.examples,low,low,low,low,,,,,,15,92,,,,,,,,,,,,,5,5,0,92,0,2,0,1,0,15,,,,,,,
kafka.examples.Consumer,Consumer,very-high,low,low,low,5,591,9,1,0,5,27,24,2,0,4,0,0,0,0.375,0.833,0,0,,,,,27,,,,,,5,,,,,,,
<Method>kafka.examples.Consumer.public Consumer( String ): void,Consumer( String ): void,low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12,1,7,2
<Method>kafka.examples.Consumer.public doWork( ): void,doWork( ): void,low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,0,8,3
<Method>kafka.examples.Consumer.public isInterruptible( ): boolean,isInterruptible( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>kafka.examples.Consumer.public name( ): String,name( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Field>kafka.examples.Consumer->consumer,final consumer : KafkaConsumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>kafka.examples.Consumer->topic,final topic : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kafka.examples.DemoCallBack,DemoCallBack,low,low,low,low,1,8,5,1,0,3,17,13,3,0,2,0,0,0,0.417,0,0,0,,,,,17,,,,,,3,,,,,,,
"<Method>kafka.examples.DemoCallBack.public DemoCallBack( long, int, String ): void","DemoCallBack( long, int, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,3,0,3
