QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
kafka-ce1cb329d5aa788968e47d7dfe307128f2ddc2ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>kafka.examples,kafka.examples,low,low,low-medium,low,,,,,,10,138,,,,,,,,,,,,,6,6,0,138,0,0,0,1,0,10,,,,,,,
kafka.examples.Consumer,Consumer,low,low,low,low,0,2,0,0,0,3,27,9,0,0,2,0,0,0,0,0,0,0,,,,,27,,,,,,3,,,,,,,
<Method>kafka.examples.Consumer.public doWork( ): void,doWork( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,0,0,0
<Method>kafka.examples.Consumer.public isInterruptible( ): boolean,isInterruptible( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
kafka.examples.DemoCallBack,DemoCallBack,low,low,low,low,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,,,,,17,,,,,,0,,,,,,,
<Field>kafka.examples.DemoCallBack->key,final key : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>kafka.examples.DemoCallBack->startTime,final startTime : long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kafka.examples.KafkaConsumerProducerDemo,KafkaConsumerProducerDemo,low,low,low,low,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,0,,,,,,,
kafka.examples.KafkaProperties,KafkaProperties,low,low,low,low,0,1,0,0,0,1,10,1,0,3,1,0,0,0,0,0,0,0,,,,,10,,,,,,1,,,,,,,
<Method>kafka.examples.KafkaProperties.private KafkaProperties( ): void,KafkaProperties( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Field>kafka.examples.KafkaProperties->CONNECTION_TIMEOUT,static final CONNECTION_TIMEOUT : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>kafka.examples.KafkaProperties->KAFKA_PRODUCER_BUFFER_SIZE,static final KAFKA_PRODUCER_BUFFER_SIZE : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>kafka.examples.KafkaProperties->KAFKA_SERVER_PORT,static final KAFKA_SERVER_PORT : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kafka.examples.Producer,Producer,low,low,low,low,1,1,0,0,0,4,31,18,0,0,1,0,0,0,0,0,0,0,,,,,31,,,,,,4,,,,,,,
<Method>kafka.examples.Producer.public run( ): void,run( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,18,0,0,0
kafka.examples.SimpleConsumerDemo,SimpleConsumerDemo,low,low,low,low,0,1,0,0,0,2,46,9,0,0,0,1,0,0,0,0,0,0,,,,,46,,,,,,2,,,,,,,
<Method>kafka.examples.SimpleConsumerDemo.private static generateData( ): void,static generateData( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,9,0,0,0
<Package>kafka.javaapi.consumer,kafka.javaapi.consumer,low,low,low,low,,,,,,12,16,,,,,,,,,,,,,2,0,2,16,0,0,1,1,1,12,,,,,,,
kafka.javaapi.consumer.ConsumerConnector,ConsumerConnector,low,low,low,low,0,3,0,1,0,10,13,3,0,0,3,0,0,0,0.333,0,0,0,,,,,13,,,,,,10,,,,,,,
<Method>kafka.javaapi.consumer.ConsumerConnector.public abstract commitOffsets( ): void,commitOffsets( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>kafka.javaapi.consumer.ConsumerConnector.public abstract commitOffsets( boolean ): void,commitOffsets( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
<Method>kafka.javaapi.consumer.ConsumerConnector.public abstract shutdown( ): void,shutdown( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
kafka.javaapi.consumer.ConsumerRebalanceListener,ConsumerRebalanceListener,low,low,low,low,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,,,,,3,,,,,,2,,,,,,,
<Package>kafka.tools,kafka.tools,low,low,low,low,,,,,,19,153,,,,,,,,,,,,,1,1,0,153,0,0,0,1,0,19,,,,,,,
kafka.tools.StreamsResetter,StreamsResetter,low,low,low-medium,low,0,1,0,0,0,19,153,55,0,2,1,0,0,0,0,0,0,0,,,,,153,,,,,,19,,,,,,,
<Method>kafka.tools.StreamsResetter.private resetInputAndInternalAndSeekToEndIntermediateTopicOffsets( ): void,resetInputAndInternalAndSeekToEndIntermediateTopicOffsets( ): void,medium-high,low,medium-high,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4,55,0,0,0
<Field>kafka.tools.StreamsResetter->EXIT_CODE_ERROR,static final EXIT_CODE_ERROR : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>kafka.tools.StreamsResetter->EXIT_CODE_SUCCESS,static final EXIT_CODE_SUCCESS : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.apache.kafka.clients,org.apache.kafka.clients,low,low,medium-high,low,,,,,,78,876,,,,,,,,,,,,,17,13,4,876,0,0,0.235,1,0.235,78,,,,,,,
org.apache.kafka.clients.ClientRequest,ClientRequest,low,low,low,low,0,2,0,0,0,2,39,4,2,0,2,0,0,1,0,1,0,0,,,,,39,,,,,,2,,,,,,,
<Method>org.apache.kafka.clients.ClientRequest.public createdTimeMs( ): long,createdTimeMs( ): long,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>org.apache.kafka.clients.ClientRequest.public expectResponse( ): boolean,expectResponse( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Field>org.apache.kafka.clients.ClientRequest->createdTimeMs,final createdTimeMs : long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.kafka.clients.ClientRequest->expectResponse,final expectResponse : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.kafka.clients.ClientResponse,ClientResponse,low,low,low-medium,low,0,5,0,0,0,6,51,11,3,0,5,0,0,1,0,1,0,0,,,,,51,,,,,,6,,,,,,,
<Method>org.apache.kafka.clients.ClientResponse.public hasResponse( ): boolean,hasResponse( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.apache.kafka.clients.ClientResponse.public onComplete( ): void,onComplete( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,0,0,0
<Method>org.apache.kafka.clients.ClientResponse.public receivedTimeMs( ): long,receivedTimeMs( ): long,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>org.apache.kafka.clients.ClientResponse.public requestLatencyMs( ): long,requestLatencyMs( ): long,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>org.apache.kafka.clients.ClientResponse.public wasDisconnected( ): boolean,wasDisconnected( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Field>org.apache.kafka.clients.ClientResponse->disconnected,final disconnected : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.kafka.clients.ClientResponse->latencyMs,final latencyMs : long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.kafka.clients.ClientResponse->receivedTimeMs,final receivedTimeMs : long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.kafka.clients.ClientUtils,ClientUtils,low,low,low,low,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,,,,,41,,,,,,0,,,,,,,
org.apache.kafka.clients.ClusterConnectionStates,ClusterConnectionStates,low,low,low-medium,low,0,1,0,0,0,1,61,3,1,0,1,0,0,0,0,0,0,0,,,,,61,,,,,,1,,,,,,,
org.apache.kafka.clients.ClusterConnectionStates.NodeConnectionState,NodeConnectionState,low,low,low,low,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,,,,,8,,,,,,0,,,,,,,
<Method>org.apache.kafka.clients.ClusterConnectionStates.public ClusterConnectionStates( long ): void,ClusterConnectionStates( long ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,0,1
<Field>org.apache.kafka.clients.ClusterConnectionStates->reconnectBackoffMs,final reconnectBackoffMs : long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
